"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","Dept. Total","4007","3.131","31.2","17.8","21.0","12.7","10.7","1.0","0.8","3.1","",".","0.0","",".","1.2","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","3.071","34.3","20.4","13.0","14.8","14.8",".","1.9",".","",".",".","",".",".","0.9",".",".","."
"Sophomore","","806","3.094","30.5","18.6","20.8","15.3","12.8","0.9","0.9",".","",".","0.1","",".",".","0.1",".",".","."
"Junior","","1321","3.071","27.6","17.8","23.9","15.4","13.2","1.0","0.9",".","",".",".","",".",".","0.2",".",".","."
"Senior","","1323","3.170","35.1","18.3","22.0","12.2","9.6","1.5","0.8","0.1","",".","0.1","",".","0.1","0.3",".",".","."
"Undergraduates","","3558","3.111","31.3","18.2","22.2","14.2","11.8","1.1","0.9","0.0","",".","0.1","",".","0.0","0.3",".",".","."
"Special","","22","3.048","40.9",".","13.6",".","4.5","4.5","4.5","9.1","",".",".","",".",".",".",".","22.7","."
"Graduate","","427","3.530","30.4","14.8","11.9","1.2","1.9","0.2","0.5","28.3","",".",".","",".","10.8",".",".",".","."
"","Dept. Total","4007","3.131","31.2","17.8","21.0","12.7","10.7","1.0","0.8","3.1","",".","0.0","",".","1.2","0.2",".","0.1","."
