"TERM : 1264","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","Dept. Total
190","3.983","40.0","1.1","",".","",".","",".","",".","",".","58.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"708","PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
