"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Dimensions-Material Culture","264","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Stdy Abrd: European Hist","271","00A","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.775","75.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"History at Work","300","001","40","3.967","95.0",".",".",".","2.5",".",".",".",".",".",".",".",".","2.5",".","."
"Crusades: Christianity & Islam","309","001","71","3.623","47.9","14.1","5.6","2.8","1.4","2.8",".",".",".",".",".",".",".","1.4","23.9","."
"Afro-Am Hist Since 1900","321","001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"History of Humanitarianism","330","002","40","3.841","45.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".",".","45.0","."
"East Asia & The US Since 1899","332","001","34","3.382","35.3","32.4","14.7","14.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"","335","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","7","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Korean War to the 21st Century","","Course Total","14","3.607","71.4","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","61","3.780","59.0","16.4","3.3",".","3.3",".",".","16.4",".",".",".",".","1.6",".",".","."
"Military Hist-United States","345","001","108","3.622","38.9","21.3","12.0","2.8","0.9",".",".","22.2",".",".",".",".","1.9",".",".","."
"The Caribbean & its Diasporas","347","001","40","3.743","62.5","12.5","7.5","2.5","2.5",".",".","10.0",".",".",".",".",".",".","2.5","."
"Early Medieval England","360","001","16","3.469","31.3","56.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Athenian Democracy","362","001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Cold War","375","001","140","3.940","72.1","2.1","2.1",".","0.7",".",".","22.9",".",".",".",".",".",".",".","."
"Sovereignty & the Schoolhouse","380","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","37","3.870","48.6","10.8","2.7",".",".",".",".","37.8",".",".",".",".",".",".",".","."
"","401","001","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","401","002","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","17","3.794","82.4","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Public History Workshop","","Course Total","42","3.810","81.0","9.5","2.4","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"The Enlightenm't & Its Critics","411","001","28","3.675","42.9","14.3","10.7","3.6",".",".",".","28.6",".",".",".",".",".",".",".","."
"History-American Education","412","001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Union & World,1917-1991","424","001","49","3.591","44.9","28.6","8.2","4.1","4.1",".",".","10.2",".",".",".",".",".",".",".","."
"The History of Punishment","426","001","20","3.675","55.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Foreign Rel-1901 on","434","001","59","3.936","59.3","5.1","1.7",".",".",".",".","1.7",".",".",".",".","3.4",".","28.8","."
"Global Environmental History","465","001","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"History of Forensic Science","477","001","9","3.222","11.1","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","003","8","3.500","37.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","500","004","15","3.467","53.3","13.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","500","005","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","006","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","007","12","3.542","58.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","76","3.704","67.1","18.4","6.6","3.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
