"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Pilates Mat I","Course Total","","91","3.868","89.0","4.4","4.4",".","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"","136
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","136
002","","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment I","Course Total","","30","3.917","93.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Histories of Dance","165
001","","23","3.717","65.2","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Dancing Gender","168
001","","89","3.665","74.2","10.1","3.4","2.2","6.7","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"","212
001","","18","3.667","83.3","5.6",".","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","212
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","","29","3.745","89.7","3.4",".","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Hip Hop Technique & Theory II","215
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","226
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment II","236
001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
003","","13","3.769","84.6",".",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","50","3.810","76.0","14.0","6.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","","98","3.532","62.2","14.3","8.2","1.0","7.1","2.0","2.0","2.0",".",".",".",".","1.0",".",".","."
"","312
001","","21","3.738","76.2","4.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","312
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","Course Total","","45","3.847","88.9","2.2","4.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","326
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique III-B","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Screendance Production","345
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance History II: Contemporary","365
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching Methods","375
001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
