"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"Topics, French Lit and Culture","103","001","","48","3.783","79.2","2.1","6.3","6.3","2.1",".",".","2.1",".",".",".",".",".",".","2.1","."
"19&20th C Russn Lit Tran II","202","001","","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","28","3.357","64.3","10.7","10.7","3.6",".",".","10.7",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","","14","3.909","64.3","14.3",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Classical South Asian Lit","212","001","","10","2.750","50.0",".","10.0","10.0","10.0",".","20.0",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","","33","3.871","81.8","3.0","6.1","3.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anime","232","001","","20","3.158","25.0","20.0","30.0",".","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","002","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish American Literature","245","001","","15","3.500","46.7","20.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","247","001","","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","247","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","247","003","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","","Course Total","","26","3.827","76.9","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253","001","","62","3.661","54.8","14.5","16.1","4.8",".",".",".","9.7",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Topics in Russ Lit & Cult","266","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","276","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","","Course Total","","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Humans and Other Animals","321","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vampires","327","001","","45","3.700","68.9","15.6","8.9","4.4",".","2.2",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","001","","25","3.688","60.0","16.0","16.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","410","002","","28","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","","63","3.702","58.7","22.2","15.9","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
