"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Introduction to Teaching Art","321
001","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Student Teaching in Elem Art","423
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in Sec Art","424
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar in Art Education","425
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"176
ART ED","Dept. Total","","31","3.789","48.4","6.5","3.2",".","3.2",".",".",".",".","38.7",".",".",".",".",".","."
