"TERM : 1264","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","Dept. Total
714","3.994","25.4","0.3","",".","",".","",".","",".","",".","73.1","0.1","0.1","",".","0.1","0.1",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632","MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
