"Where Science Meets Society","201
001","","52","3.510","44.2","34.6","13.5",".","","1.9","1.9","1.9",".","",".","",".",".","",".","",".","",".","1.9","."
"Sci, Technol & Med in Society","901
001","","7","3.929","85.7","14.3",".",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Current Topics-Sci & Tech St","902
001","","7","",".",".",".",".","",".",".",".",".","",".","","100.0",".","",".","",".","",".",".","."
"875
STS","Dept. Total","","66","3.560","43.9","28.8","10.6","",".","1.5","1.5","1.5","",".","",".","10.6","",".","",".","",".",".","1.5","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","23","3.500","52.2","30.4","8.7","",".","4.3",".","4.3","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.521","41.7","37.5","16.7","",".",".","4.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","51","3.510","45.1","35.3","13.7","",".","2.0","2.0","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Graduate","","","14","3.929","42.9","7.1",".","",".",".",".",".","",".","",".","50.0","",".","",".","",".",".",".","."
"","Dept. Total","","66","3.560","43.9","28.8","10.6","",".","1.5","1.5","1.5","",".","",".","10.6","",".","",".","",".",".","1.5","."
