"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100","001","","30","3.933","96.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"100","002","","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Biochemistry Freshman Seminar","Course Total","","44","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Molecules to Life & Science
104","002","","701","3.935","93.4","3.0","1.3","0.9","0.7","0.1","0.1","0.4",".",".",".",".",".",".",".","."
"207","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207","002","","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Bacteriophage Lab","Course Total","","37","3.946","94.6",".","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","071","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","098","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Biochemistry
301","001","","38","2.932","26.3","13.2","23.7","5.3","21.1","7.9",".","2.6",".",".",".",".",".",".",".","."
"Special Topics
375","001","","12","3.583","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"501","001","","212","3.500","52.8","19.3","15.6","2.8","7.5","0.5","0.9","0.5",".",".",".",".",".",".",".","."
"501","002","","494","3.641","64.8","13.2","13.0","2.6","4.9","0.8",".","0.6",".",".",".",".","0.2",".",".","."
"Introduction-Biochemistry","Course Total","","706","3.598","61.2","15.0","13.7","2.7","5.7","0.7","0.3","0.6",".",".",".",".","0.1",".",".","."
"General Biochemistry I
507","001","","38","3.421","44.7","23.7","15.8","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"General Biochemistry II
508","001","","88","2.983","26.1","12.5","33.0","6.8","13.6","3.4","3.4","1.1",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm
510","001","","60","3.233","41.7","10.0","28.3","3.3","11.7","5.0",".",".",".",".",".",".",".",".",".","."
"Biochemical Methods
551","001","","117","3.846","72.6","23.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Disease & Biotechnology
560","001","","42","3.464","52.4","4.8","28.6","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Biology of Viruses
575","001","","17","2.706","17.6","5.9","41.2","5.9","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients
619","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Eukaryotic Molecular Biology
620","001","","22","3.568","40.9","36.4","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis
692","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 11 of 493"
