"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","540
001","173","3.524","35.8","35.8","20.8","5.2",".",".",".","0.6",".",".",".",".","1.7",".",".","."
"","540
002","187","3.444","36.4","28.9","26.7","5.3","2.1",".","0.5",".",".",".",".",".",".",".",".","."
"","540
003","137","3.389","32.1","28.5","27.0","8.8","1.5",".","0.7",".",".",".",".",".","0.7",".","0.7","."
"Intro-Artificl Intelligence","Course Total","497","3.456","35.0","31.2","24.7","6.2","1.2",".","0.4","0.2",".",".",".",".","0.8",".","0.2","."
"Theory & Algo for Data Sci","541
001","25","3.320","44.0","32.0","4.0","8.0",".","12.0",".",".",".",".",".",".",".",".",".","."
"Intro to Software Security","542
001","114","3.451","55.3","11.4","14.0","7.9","8.8","1.8",".","0.9",".",".",".",".",".",".",".","."
"","544
001","154","3.166","31.8","13.6","29.9","16.9","4.5","0.6","2.6",".",".",".",".",".",".",".",".","."
"","544
002","200","3.319","38.0","21.5","21.0","14.0","2.0","1.0","2.0","0.5",".",".",".",".",".",".",".","."
"Intro Big Data Systems","Course Total","354","3.252","35.3","18.1","24.9","15.3","3.1","0.8","2.3","0.3",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Para & Throughput Opt Programg","557
001","80","3.556","45.0","31.3","16.3","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Computer Graphics","559
001","84","3.235","46.4","22.6","11.9",".","7.1","4.8","6.0","1.2",".",".",".",".",".",".",".","."
"","564
001","184","3.315","34.2","23.9","18.5","15.2","6.0",".","0.5",".",".",".",".",".","1.1",".","0.5","."
"","564
002","122","3.623","62.3","18.0","6.6","9.8","2.5","0.8",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","Course Total","306","3.439","45.4","21.6","13.7","13.1","4.6","0.3","0.3",".",".",".",".",".","0.7",".","0.3","."
"Biomedical Image Analysis","567
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","570
001","217","3.901","85.7","10.1","3.2","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"","571
001","89","3.219","24.7","38.2","14.6","10.1","7.9","4.5",".",".",".",".",".",".",".",".",".","."
"","571
002","168","3.420","31.5","41.7","16.1","6.5","1.8","1.8","0.6",".",".",".",".",".",".",".",".","."
"Building User Interfaces","Course Total","257","3.350","29.2","40.5","15.6","7.8","3.9","2.7","0.4",".",".",".",".",".",".",".",".","."
"","577
001","187","2.726","18.7","15.5","21.9","15.0","12.3","11.2","3.7",".",".",".",".",".","1.6",".",".","."
"","577
002","186","2.766","22.0","16.1","14.5","19.4","13.4","10.2","3.2",".",".",".",".",".","0.5",".","0.5","."
"","577
003","133","3.030","30.8","18.0","14.3","15.0","15.8","4.5","1.5",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","506","2.821","23.1","16.4","17.2","16.6","13.6","9.1","3.0",".",".",".",".",".","0.8",".","0.2","."
"Virtual Reality","579
001","92","3.554","57.6","22.8","8.7","1.1","7.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"User Experience Design 2","612
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Sciences Capstone","620
001","121","3.930","90.1","6.6","2.5","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638
001","81","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","29","3.328","51.7","13.8","10.3","10.3","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"","639
002","39","3.628","64.1","15.4","10.3","2.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"","639
003","195","3.878","82.6","8.7","7.7",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"","639
004","49","3.694","59.2","26.5","10.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","639
005","20","3.632","60.0","10.0","20.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","639
006","51","3.350","52.9","15.7","11.8","2.0","9.8","2.0","3.9",".",".",".",".",".","2.0",".",".","."
"","639
007","76","3.568","47.4","23.7","17.1","6.6","1.3",".",".","3.9",".",".",".",".",".",".",".","."
"","639
008","98","3.782","65.3","22.4","6.1","1.0","1.0",".",".","4.1",".",".",".",".",".",".",".","."
"","639
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"UG Elective Topic in Computing","Course Total","558","3.700","66.3","16.1","10.0","2.2","2.7","0.2","0.5","1.8",".",".",".",".","0.2",".",".","."
"","640
001","86","3.581","48.8","24.4","20.9","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","88","3.847","79.5","11.4","8.0","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","39","3.551","43.6","23.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 230 of 493",""
