"L&S","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Explore Interdis St in Lit","109
001","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","109","3.927","91.7","5.5",".","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","38","3.776","84.2","7.9","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","81","3.730","58.0","37.0","2.5",".",".","1.2","1.2",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","6","3.250","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Society","253
001","24","3.250","33.3","25.0","20.8","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Humans and Other Animals","321
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Politics","363
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Migration Lit Americas","367
001","10","3.400","70.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Magic Realism Postmodernity","369
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
ILS","Dept. Total","348","3.758","72.1","18.4","4.9","2.0","1.1","0.6","0.9",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.402","46.7","33.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Sophomore","","124","3.813","75.0","17.7","4.8","0.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Junior","","118","3.779","72.0","18.6","4.2","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"Senior","","91","3.713","72.5","16.5","5.5","1.1","1.1","1.1","2.2",".",".",".",".",".",".",".",".","."
"Undergraduates","","348","3.758","72.1","18.4","4.9","2.0","1.1","0.6","0.9",".",".",".",".",".",".",".",".","."
"","Dept. Total","348","3.758","72.1","18.4","4.9","2.0","1.1","0.6","0.9",".",".",".",".",".",".",".",".","."
