"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","103","2.723","23.3","10.7","14.6","13.6","28.2","7.8","1.9",".",".",".",".",".",".",".",".","."
"","101
002","178","2.624","19.7","10.7","19.1","12.9","25.3","6.2","6.2",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","281","2.660","21.0","10.7","17.4","13.2","26.3","6.8","4.6",".",".",".",".",".",".",".",".","."
"","102
001","13","3.385","30.8","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","15","3.033","40.0","13.3","13.3","6.7","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","102
003","14","2.571","14.3","21.4","7.1","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"","102
004","15","3.233","33.3","20.0","33.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","102
005","13","3.077","23.1","23.1","30.8","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.139","27.8","11.1","33.3","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
007","12","2.958","25.0","8.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
009","18","3.500","50.0","11.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","14","3.071","21.4","35.7","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","102
011","15","3.067","40.0","6.7","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","102
013","12","3.167","25.0","33.3","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","159","3.119","30.8","19.5","22.6","10.7","10.1","5.7","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","34","2.956","32.4","14.7","23.5",".","17.6","8.8","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","370","2.958","25.1","9.2","36.2","5.7","17.3","5.7","0.8",".",".",".",".",".",".",".",".","."
"","152
001","440","3.514","51.6","14.1","27.0","2.0","4.1","0.5","0.5",".",".",".",".",".","0.2",".",".","."
"","152
002","485","3.530","53.4","13.8","26.2","2.5","2.3","1.0","0.6",".",".",".",".",".","0.2",".",".","."
"Introductory Biology","Course Total","925","3.522","52.5","13.9","26.6","2.3","3.1","0.8","0.5",".",".",".",".",".","0.2",".",".","."
"Internship/Field Experience","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","4","***","","","","","","","","","","","","","","","",""
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
