"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainablty Engr for Non-Engr","121","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","93","3.871","86.0","9.7","1.1","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","66","2.758","42.4",".","22.7",".","16.7","4.5","13.6",".",".",".",".",".",".",".",".","."
"Architectural Making II","152","001","","6","1.667",".",".","50.0",".",".","16.7","33.3",".",".",".",".",".",".",".",".","."
"Architectural Thinking","155","001","","49","3.745","79.6","10.2","4.1",".","2.0","4.1",".",".",".",".",".",".",".",".",".","."
"","159","001","","31","3.839","80.6","9.7","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","159","002","","31","3.683","67.7","12.9","9.7","3.2",".","3.2",".",".",".",".",".",".","3.2",".",".","."
"","159","003","","22","3.773","77.3","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","84","3.765","75.0","13.1","6.0","2.4",".","2.4",".",".",".",".",".",".","1.2",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","72","3.424","25.0","48.6","18.1","5.6","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","62","3.097","14.5","25.8","35.5","19.4","3.2",".","1.6",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","74","3.054","16.2","31.1","21.6","17.6","9.5","4.1",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","78","3.846","83.3","7.7","6.4",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engr Materials","325","001","","40","3.538","32.5","42.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","44","3.625","52.3","27.3","15.9","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","48","3.531","47.9","20.8","22.9","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","45","3.500","51.1","8.9","33.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","14","3.500","57.1","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","39","3.513","59.0","5.1","23.1","5.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","39","3.263","23.1","43.6","15.4","7.7","2.6","2.6","2.6",".",".",".",".",".",".",".","2.6","."
"","428","002","","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","53","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Underground Openings","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","39","3.270","20.5","30.8","28.2","10.3","5.1",".",".","5.1",".",".",".",".",".",".",".","."
"Data Sensing & Analys in Cnstr","465","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rock Mechanics","474","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","63","3.429","33.3","31.7","27.0","6.3",".","1.6",".",".",".",".",".",".",".",".",".","."
"Sustainable Building and Mater","495","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","60","3.583","46.7","35.0","8.3","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","002","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
