"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"","475
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Early Child-Elem","Course Total","","15","3.974","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","476
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","Course Total","","10","3.615","70.0",".","10.0",".",".","10.0",".",".",".",".",".",".","10.0",".",".","."
"","477
001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","Course Total","","48","3.983","97.9",".","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Reading Prac: Sec (Gr 4-12)","480
001","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","","32","3.875","87.5","6.3","3.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","42","3.917","90.5","4.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","505
002","","39","3.961","92.3","2.6","2.6",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","81","3.938","91.4","3.7","2.5","1.2",".",".",".",".",".",".",".",".","1.2",".",".","."
"Strategy-Inclusive Schoolng","506
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partnering w/ Families","510
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","","11","3.976","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
191","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","630
192","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
199","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","38","3.993","94.7","2.6",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","660
104","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.882","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","690
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Clin Reh & MH Cnslg-Assessment","720
001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Career Devel","725
001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
