"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","231","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","235","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","251","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","253","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","255","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","263","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","264","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","269","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","162","3.997","96.9","0.6",".",".",".",".",".",".",".",".",".",".",".",".","2.5","."
"Cell Signals and Human Disease
701","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Improv for Scientists
710","020","","18","",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".",".",".","."
"Endocrinology and Metabolism
720","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CHI Capstone Project
750","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care & Incarceration
809","091","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"The Body Electric: EP and ECG
880","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"902","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Transl Research Elective","Course Total","","4","***","","","","","","","","","","","","","","","",""
"903","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MSTP Longitudinal Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Ventilator Physiology
905","017","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"906","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ACE Elderly Consult Elective","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"907","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"907","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"907","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 415 of 493",""
