"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542","001","","96","3.786","67.7","21.9","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology I","543","001","","90","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544","001","","90","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology II","545","001","","96","3.896","85.4","8.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","96","3.198","18.8","22.9","45.8","6.3","5.2","1.0",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","96","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642","001","","41","4.000","31.7",".",".",".",".",".",".","68.3",".",".",".",".",".",".",".","."
"","642","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","43","4.000","32.6",".",".",".",".",".",".","67.4",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","19","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","645","001","","42","4.000","26.2",".",".",".",".",".",".","73.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","35","4.000","45.7",".",".",".",".",".",".","54.3",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","31","4.000","58.1",".",".",".",".",".",".","41.9",".",".",".",".",".",".",".","."
"","675","006","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","021","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","026","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","027","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","028","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","030","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","032","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","120","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","96","3.823","80.2","8.3","8.3","2.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","49","4.000","98.0",".",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Special Species Rotation","710","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Radiation Oncology","714","001","","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","30","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","12","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
