"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Macroeconomics I","702","001","","52","3.490","42.3","17.3","36.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","704","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","","42","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Causal Estimation in Econ","707","002","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","708","001","","50","3.673","44.0","44.0","10.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Econ Stats & Econometrics 2","710","001","","30","3.606","43.3","36.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","","30","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","","27","3.519","33.3","37.0","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Econometrics","717","001","","24","3.870","70.8","25.0",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Financial Econometrics","724","001","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning for Econ","725","002","","39","3.551","41.0","33.3","20.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Int'l Financial Econ","730","001","","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Analysis-Ind Org&Pub Pol","762","001","","22","4.000","77.3",".",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"Bayesian Statistics","775","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","872","001","","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","899","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","002","","11","3.714","36.4","18.2","9.1",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","899","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Advances-Economics","","Course Total","","28","3.842","75.0","7.1","3.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Macro-Econ Analys","966","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 240 of 493",""
