"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management
300","001","","178","3.222","30.3","13.5","35.4","11.8","9.0",".",".",".",".",".",".",".",".",".",".","."
"365","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"365","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"365","003","","30","3.533","63.3","10.0","10.0","3.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"365","004","","13","3.542","53.8","7.7","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","56","3.579","69.6","7.1","8.9","5.4","7.1",".",".","1.8",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management
399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise
640","001","","56","3.384","48.2","7.1","33.9","1.8","5.4","3.6",".",".",".",".",".",".",".",".",".","."
"660","001","","47","3.521","57.4","8.5","25.5","2.1","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"660","002","","45","3.467","44.4","15.6","31.1","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","","92","3.495","51.1","12.0","28.3","4.3","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"Cyber Risk & Regulations
670","001","","60","3.608","43.3","35.0","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics
765","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc
875","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","135","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","Course Total","","2","***","","","","","","","","","","","","","","","",""
