"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","116","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","143","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","181","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","182","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","66","3.993","97.0",".","1.5",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"Surgery Intern Prep
909","105","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Rsrch in Surg","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 461 of 493",""
