"AFRICAN AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro to AfroAm Studies","101","001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102","001","31","3.852","71.0","12.9",".",".","3.2",".",".",".",".",".",".",".",".","12.9",".","."
"Hip-Hop and Cont Am Society","154","001","201","3.974","96.0",".","0.5",".",".",".","0.5","3.0",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","284","3.858","79.6","13.4","4.2","0.4",".","0.4","0.4","1.8",".",".",".",".",".",".",".","."
"Intro to Afro Amer Lit","227","001","38","3.847","68.4","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Intro to African Am History","231","001","38","3.459","60.5","2.6","18.4","2.6","10.5","2.6",".","2.6",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","19","3.395","47.4","26.3","15.8",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","28","3.563","57.1","3.6","17.9",".","3.6","3.6",".",".",".",".",".",".",".",".","14.3","."
"Latin America-Introduction","260","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","003","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","006","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","26","3.846","80.8","7.7","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","11","3.318","45.5","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","18","3.639","61.1","5.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Rights","435","001","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","9","3.611","77.8","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","6","3.333","50.0","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","673","001","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","673","002","12","3.682","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Topics in Afro-Am Society","","Course Total","25","3.688","60.0","20.0","12.0",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"","699","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","790","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
