"ENGR MECHANICS & AEROSPA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Astrodynamics
550","001","","48","3.208","25.0","27.1","25.0","10.4","12.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project
569","001","","39","3.551","38.5","33.3","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.889","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials
611","001","","11","3.273","45.5","18.2","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Plasticity Theory and Physics
703","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Finite Elements
705","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr
759","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Turblnt Heat&Momentm Trnsfr
775","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
