"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","133","3.406","39.1","27.1","20.3","6.0","6.0","1.5",".",".",".",".",".",".",".",".",".","."
"Disability & Crim Justice Syst","135","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prisons: Antiquity to Supermax","235","001","80","3.588","23.8","73.8",".","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","33","3.114","9.1","21.2","18.2","12.1","6.1",".",".","27.3",".",".",".",".","6.1",".",".","."
"","400","041","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","042","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","046","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","047","28","3.554","75.0","3.6","7.1",".","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","87","3.678","63.2","23.0","9.2",".","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","38","3.526","34.2","44.7","15.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Human Rights in Law & Society","409","001","26","3.596","50.0","26.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","49","3.646","49.0","36.7","6.1","4.1","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"The History of Punishment","426","001","22","3.667","40.9","45.5","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Law and Environment","430","001","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Rights","435","001","96","3.620","36.5","49.0","7.3","3.1",".",".",".","3.1",".",".",".",".","1.0",".",".","."
"Immigration, Crime, Enforcemnt","443","001","42","3.869","90.5","7.1",".",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","68","3.897","85.3","11.8","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Race, Family & the State","451","001","22","3.455","45.5","27.3","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"Health and Social Needs","473","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Forensic Science","477","001","26","3.077","15.4","19.2","34.6","26.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"Legal Pluralism","510","001","17","3.324","17.6","41.2","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","542","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Law and Public Education","","Course Total","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","007","16","3.656","43.8","50.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics - Legal Studies","","Course Total","29","3.779","55.2","34.5","3.4","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Intellectual Freedom","645","001","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","694","001","23","3.826","87.0",".","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","694","002","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","","Course Total","47","3.894","89.4","4.3","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","699","012","9","3.972","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 291 of 493",""
