"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","222
001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","","16","3.844","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Introduction to Painting","Course Total","","48","3.926","89.6","4.2","2.1","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"","224
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","71","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","232
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
002","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","14","3.429","57.1","14.3","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","45","3.800","82.2","8.9","4.4",".","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Relief Printmaking","306
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","16","3.625","62.5","18.8",".","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","16","3.813","81.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Making Comics 1","Course Total","","32","3.719","71.9","12.5","3.1","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","332
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","334
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","338
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","338
002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Art","Course Total","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Watercolor II","342
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","15","3.567","60.0","20.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","346
003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
004","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Graphic Design","Course Total","","55","3.827","80.0","12.7","5.5",".",".","1.8",".",".",".",".",".",".",".",".",".","."
