"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Stdt Teaching-Middle School","Course Total","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
004","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
005","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
006","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar - Elementary Education","Course Total","136","3.968","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
005","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
006","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","108","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","468
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EC/ESL Student Teaching","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","31","3.903","90.3","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching World Languages II","546
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methds&Matls-Early Childhd Edu","550
001","110","3.902","82.7","11.8","0.9","1.8",".",".",".",".",".",".",".",".","2.7",".",".","."
"Adv Pract-Teach Soc Studies","559
001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","29","3.862","72.4","27.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
001","34","3.833","73.5","14.7","8.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
