"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN CULTURAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","13","",".",".",".",".",".",".",".","84.6",".",".",".","7.7","7.7",".",".","."
"Indep Reading & Research
999","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"104
AFRICAN","Dept. Total","","466","3.747","67.2","15.7","6.4","2.6","1.1","0.2","0.9","5.2",".",".",".","0.2","0.2","0.2","0.2","."
