"EDUCATIONAL POLICY STUDIES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"","300","003","","41","3.756","75.6","14.6","4.9",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","300","004","","50","3.910","84.0","14.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","005","","20","3.625","55.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","","Course Total","","205","3.871","83.9","11.2","2.4","1.0","1.0","0.5",".",".",".",".",".",".",".",".",".","."
"Democracy and Education","305","001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Qual Rsrch Mthds in Ed","308","001","","23","3.674","60.9","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Latine Students in Higher Ed","310","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","001","","47","3.883","83.0","12.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","320","002","","37","3.405","43.2","29.7","5.4","8.1","13.5",".",".",".",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","","Course Total","","84","3.673","65.5","20.2","3.6","4.8","6.0",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335","002","","19","3.737","63.2","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Education across the Americas","342","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350","002","","12","3.818","75.0","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","350","005","","28","3.911","92.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","350","006","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","350","007","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Education Studies","","Course Total","","105","3.889","90.5","4.8",".","1.9","1.0",".","1.0",".",".",".",".",".","1.0",".",".","."
"Politics and Education in US","355","001","","28","3.815","67.9","21.4","7.1",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Independent Reading","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412","001","","78","3.615","55.1","32.1","2.6","6.4","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"Education in Emergencies","435","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Law and Public Education","","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Moral Education","550","001","","11","3.300","27.3","54.5",".",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Gender and Education","560","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","","23","3.913","91.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Com Engagement in Ed","585","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Politics & Ed","595","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Research and Eval for Equity","601","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sec Data: Appl Quant Analysis","605","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Qualitative Research in Ed","618","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Education","648","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Community-based Spaces","810","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
