"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Social Policy","709
001","57","3.982","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
011","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","72","3.931","86.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
010","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
010","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","13","3.615","69.2","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","801
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
021","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
031","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
032","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
042","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
121","9","3.824","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
131","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
132","9","3.950","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","109","3.931","87.2","11.9","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Prac in Schools II","817
010","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools II","818
010","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","836
001","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","836
002","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","Course Total","30","3.733","63.3","26.7","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","840
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","47","3.936","91.5","6.4",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","842
001","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","842
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Supervision&Leaderhsip-","Course Total","23","3.848","78.3","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Crisis Intervention","854
001","25","3.860","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog & MH Treatments for Adults","870
001","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","929
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
010","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Misuse","Course Total","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
