"EDU","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
272
CURRIC","1915","3.894","68.6","7.2","1.9","0.8","",".","0.2","0.1","2.4","",".","17.4","",".","0.6","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","8","3.875","87.5","12.5",".",".","",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","54","3.840","87.0","7.4","3.7",".","",".",".","1.9",".","",".",".","",".",".",".",".",".","."
"Junior","416","3.841","66.1","12.0","4.1","2.2","",".",".",".",".","",".","15.6","",".",".",".",".",".","."
"Senior","828","3.913","69.1","6.3","0.5","0.7","",".","0.4","0.1",".","",".","22.3","",".",".","0.6",".",".","."
"Undergraduates","1306","3.883","69.0","8.2","1.8","1.1","",".","0.2","0.2",".","",".","19.1","",".",".","0.4",".",".","."
"Special","23","3.922","82.6",".","8.7",".","",".",".",".","4.3","",".",".","",".",".","4.3",".",".","."
"Graduate","586","3.923","67.1","5.3","2.0",".","",".",".",".","7.7","",".","14.3","",".","2.0","1.4",".",".","."
"Dept. Total","1915","3.894","68.6","7.2","1.9","0.8","",".","0.2","0.1","2.4","",".","17.4","",".","0.6","0.7",".",".","."
