"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"","100
001","308","3.381","40.9","24.4","21.1","5.8","3.9","3.6","0.3",".",".",".",".",".",".",".",".","."
"","100
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"The Microbial World","Course Total","319","3.381","39.5","23.5","20.4","5.6","3.8","3.4","0.3","3.4",".",".",".",".",".",".",".","."
"General Microbiology","101
001","353","3.086","20.1","26.6","24.1","14.4","12.2","2.3","0.3",".",".",".",".",".",".",".",".","."
"","102
001","39","3.064","23.1","17.9","30.8","15.4","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.256","30.8","15.4","33.3","15.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","39","3.064","23.1","15.4","33.3","7.7","20.5",".",".",".",".",".",".",".",".",".",".","."
"","102
004","38","3.145","28.9","15.8","26.3","13.2","15.8",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","155","3.132","26.5","16.1","31.0","12.9","12.3","1.3",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","15","3.968","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","186","3.008","28.5","9.7","33.3","5.9","17.2","3.8","1.6",".",".",".",".",".",".",".",".","."
"","304
001","34","3.191","23.5","14.7","50.0",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","304
002","34","3.235","23.5","29.4","32.4","5.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","304
003","33","2.894","9.1","9.1","63.6","6.1","6.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"","304
004","33","3.288","33.3","12.1","45.5","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","134","3.153","22.4","16.4","47.8","3.7","6.7","2.2","0.7",".",".",".",".",".",".",".",".","."
"","305
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","26","3.096","30.8","26.9","7.7","15.4","15.4",".","3.8",".",".",".",".",".",".",".",".","."
"Intro Disease Biology","345
001","331","3.935","93.7","3.3","1.2","1.2","0.3",".","0.3",".",".",".",".",".",".",".",".","."
"Gen Bioinformatics - Microbio","357
001","29","3.759","62.1","31.0","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","61","3.344","39.3","21.3","18.0","11.5","9.8",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","34","3.265","35.3","8.8","44.1","2.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"Microbial Astrobiology","520
001","47","3.967","91.5","6.4",".",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"Soil Microbiology & Biochem","523
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","46","3.000","23.9","19.6","19.6","19.6","10.9","6.5",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","84","3.932","84.5","10.7","1.2",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"","551
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 8 of 493"
