"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"350
002","5","***","","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Course Total
Prof and Acad Writing Skills","14","",".",".",".",".","",".","",".",".","",".","",".","100.0",".","",".",".",".",".","."
"Dept. Total
351
ESL","462","3.860","38.7","8.0","1.3","0.4","",".","",".","0.2","",".","",".","48.5","2.2","",".","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","91","3.793","37.4","7.7","3.3","2.2","",".","",".",".","",".","",".","49.5",".","",".",".",".",".","."
"Sophomore","129","3.920","45.0","8.5",".",".","",".","",".",".","",".","",".","42.6","3.1","",".","0.8",".",".","."
"Junior","92","3.856","41.3","14.1","1.1",".","",".","",".",".","",".","",".","37.0","4.3","",".","2.2",".",".","."
"Senior","85","3.845","57.6","7.1","2.4",".","",".","",".","1.2","",".","",".","30.6","1.2","",".",".",".",".","."
"Undergraduates","397","3.860","45.1","9.3","1.5","0.5","",".","",".","0.3","",".","",".","40.3","2.3","",".","0.8",".",".","."
"Special","10","",".",".",".",".","",".","",".",".","",".","",".","90.0","10.0","",".",".",".",".","."
"Graduate","64","",".",".",".",".","",".","",".",".","",".","",".","100.0",".","",".",".",".",".","."
"Dept. Total","471","3.860","38.0","7.9","1.3","0.4","",".","",".","0.2","",".","",".","49.5","2.1","",".","0.6",".",".","."
