"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","100","001","87","3.805","72.4","19.5","5.7","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","100","002","85","3.718","72.9","12.9","8.2","3.5",".","1.2","1.2",".",".",".",".",".",".",".",".","."
"Exercise,Nutrition,&Health","","Course Total","172","3.762","72.7","16.3","7.0","2.3","0.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"Exp Careers Health Wellness","110","001","50","3.910","94.0","2.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","116","001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","","Course Total","39","3.718","48.7","46.2","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","118","3.869","86.4","7.6","3.4",".","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"Living well: Lifestyle balance","123","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","001","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","125","002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","003","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","004","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","005","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","006","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","","Course Total","63","4.000","1.6",".",".",".",".",".",".","98.4",".",".",".",".",".",".",".","."
"Intro to Athletic Healthcare","127","001","98","3.562","52.0","20.4","18.4","5.1","2.0","1.0",".",".",".",".",".",".","1.0",".",".","."
"Sci&Pract Resistance Training","140","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","150","001","110","3.782","66.4","26.4","5.5","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Phys Act Diverse Ablts","225","001","53","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227","001","107","3.449","55.1","9.3","21.5","5.6","5.6","1.9","0.9",".",".",".",".",".",".",".",".","."
"Health Coaching Prins & Mthods","280","001","27","3.796","88.9","3.7","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","300","002","73","3.959","94.5","4.1",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","78","3.468","34.6","34.6","25.6","2.6","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","93","3.630","51.6","32.3","11.8",".","1.1","2.2",".",".",".",".",".",".",".",".","1.1","."
"","325","001","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","325","002","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","","Course Total","40","3.900","92.5",".","5.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Curr Topic-Outdoor Pursuits","327","003","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330","001","49","3.969","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330","002","49","3.969","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","","Course Total","98","3.969","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","49","3.878","83.7","8.2","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","40","3.950","92.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","59","3.551","50.8","25.4","10.2","10.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"","365","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 114 of 493",""
