"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","58","2.853","29.3","12.1","22.4","10.3","12.1","8.6","5.2",".",".",".",".",".",".",".",".","."
"","101
002","87","2.609","12.6","13.8","20.7","13.8","29.9","5.7","3.4",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","145","2.707","19.3","13.1","21.4","12.4","22.8","6.9","4.1",".",".",".",".",".",".",".",".","."
"","102
001","7","2.714",".","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
002","8","2.125",".","25.0","25.0",".","12.5","25.0","12.5",".",".",".",".",".",".",".",".","."
"","102
003","7","3.071","28.6","14.3","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","102
004","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","9","2.778","11.1","11.1","55.6","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","102
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","12","3.083","25.0","25.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
010","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
011","9","3.111","33.3","22.2","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","8","2.750",".","25.0","62.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","82","2.939","19.5","18.3","37.8","6.1","8.5","6.1","3.7",".",".",".",".",".",".",".",".","."
"Biology in Popular Media","110
001","59","3.449","50.8","8.5","32.2","3.4","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","70","2.797","18.6","12.9","31.4","4.3","22.9","5.7","2.9",".",".",".",".",".",".",".","1.4","."
"","152
001","102","3.431","47.1","12.7","31.4","1.0","6.9",".","1.0",".",".",".",".",".",".",".",".","."
"","152
002","127","3.531","47.2","20.5","26.0","3.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","229","3.487","47.2","17.0","28.4","2.6","4.4",".","0.4",".",".",".",".",".",".",".",".","."
"Introductory Biology","153
001","46","2.978","30.4","13.0","23.9",".","23.9","4.3","2.2",".",".",".",".",".","2.2",".",".","."
"Introductory Ecology","260
001","45","3.102","35.6","13.3","13.3","15.6","17.8",".","2.2",".",".",".",".",".",".",".","2.2","."
"","299
018","14","3.957","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","28","3.978","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology","300
001","53","3.057","35.8","24.5","3.8","13.2","13.2","5.7","3.8",".",".",".",".",".",".",".",".","."
"","301
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Invertebrate Zoology Lab","Course Total","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","9","3.063",".","33.3","33.3","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"Parasitology","350
001","32","3.375","56.3","3.1","25.0","3.1","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"General Molecular Biology","370
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","13","3.884","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","23","3.262","39.1","4.3","26.1","8.7","13.0",".",".",".",".",".",".",".",".","8.7",".","."
"","400
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
