"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Topics in CANES - Literature","102
001","79","3.851","81.0","8.9","5.1",".","2.5",".",".","1.3",".",".",".",".",".",".","1.3","."
"Med Term-Greek&Latin Origin","205
001","171","3.889","83.6","12.3","2.3","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","21","3.500","23.8","52.4",".","4.8","4.8",".",".",".",".",".",".",".",".",".","14.3","."
"Classical Mythology","270
001","151","3.583","58.9","16.6","13.9","6.6","1.3","1.3","0.7",".",".",".",".",".",".","0.7",".","."
"Art & Archaeology-Ancient Rome","304
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Romans","322
001","101","3.644","67.3","11.9","11.9","4.0","4.0",".","1.0",".",".",".",".",".",".",".",".","."
"Bible and Film: Lit and Media","323
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women in the Classical World","351
001","25","3.660","64.0","20.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Athenian Democracy","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Classical Archaeology","430
001","39","3.605","59.0","12.8","15.4","7.7","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Greeks, Romans, Nat. Env.","488
001","29","3.778","62.1","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".","6.9","."
"Undergrad Smr:Classicl Wrld","591
001","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","8","3.917","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Seminar","900
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"244
CLASSICS","Dept. Total","666","3.722","68.3","16.1","8.3","3.6","1.7","0.3","0.3","0.3",".",".",".",".","0.2","0.2","0.9","."
