"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","11","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","25","3.955","92.0","4.0","4.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","39","3.971","94.9","2.6","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","12","",".",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","22","",".",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","34","",".",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
