"","990
112","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
150","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
203","5","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","87","",".",".",".",".",".","",".","",".","93.1","",".",".","",".","5.7",".",".","1.1","."
"682
NTP","Dept. Total","235","3.724","18.7","5.1","3.0",".","0.4","",".","",".","69.8","",".",".","",".","2.1","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"682
NTP","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","","36","3.857","75.0","22.2","2.8",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","37","3.861","75.7","21.6","2.7",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","",".","",".",".","100.0",".",".","."
"Graduate","","185","3.560","8.6","2.2","3.2",".","0.5","",".","",".","82.2","",".",".","",".","2.7",".",".","0.5","."
"Prof Yr 3","","12","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","12","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","235","3.724","18.7","5.1","3.0",".","0.4","",".","",".","69.8","",".",".","",".","2.1","0.4",".","0.4","."
