"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","140
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Success in Engr Academics","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","170
001","192","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Orientation","200
002","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","100","3.880","82.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","Course Total","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","20","3.400","25.0","45.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
002","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","21","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","24","3.375","8.3","62.5","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.595","23.8","71.4","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","14","3.538","35.7","28.6","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","397
009","27","3.481","25.9","48.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","21","3.429","9.5","66.7","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","17","3.324","11.8","47.1","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","21","3.357","57.1","14.3","4.8","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","397
016","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
019","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
020","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","25","3.640","40.0","48.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","432","3.660","48.6","38.7","10.2","1.4","0.7",".","0.2",".",".",".",".",".","0.2",".",".","."
"","601
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
009","11","3.929","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","19","3.959","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Improv for Sci Comm & Teaching","797
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Capstone II","941
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
