"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Interprof Collab Pract in HIV","467","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Pharmacy Informatics","468","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554","001","123","3.955","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","124","3.516","46.8","22.6","21.8","4.8","4.0",".",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570","001","124","3.355","28.2","27.4","32.3","11.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiopharmaceuticals","612","001","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experience IV","626","056","93","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation II","629","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654","001","93","3.957","92.5","6.5","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","93","3.312","25.8","33.3","23.7","11.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infect Dis Pharm Acute Care","659","001","27","3.926","92.6","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Critical Care","668","001","23","3.935","95.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Oncology","678","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","699","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","740","006","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","007","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","740","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","21","3.857","81.0","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","741","006","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","272","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","37","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742","006","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","742","008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","","Course Total","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","006","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","008","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","","Course Total","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
