"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"L&S","College Total","98253","3.453","53.9","15.5","12.7","5.2","5.2","1.7","1.0","2.8","0.0","0.9","0.0","0.3","0.3","0.1","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"L&S","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","5445","3.168","43.3","16.0","16.1","7.4","9.6","4.0","2.4",".",".","0.9",".",".","0.3","0.1",".","."
"Sophomore","","23827","3.381","51.3","16.8","15.5","5.9","6.7","2.0","1.1",".",".","0.4","0.0",".","0.3","0.0",".","."
"Junior","","25983","3.422","52.6","16.7","14.7","6.1","6.0","1.8","1.0","0.0",".","0.5","0.0","0.0","0.4","0.0","0.0","."
"Senior","","30823","3.510","58.5","16.2","11.4","5.2","4.4","1.6","0.9","0.1","0.0","1.3","0.0","0.1","0.2","0.0","0.0","."
"Undergraduates","","86078","3.423","53.8","16.5","13.8","5.8","5.9","1.9","1.1","0.1","0.0","0.8","0.0","0.0","0.3","0.0","0.0","."
"Special","","2316","3.551","25.5","7.2","5.5","1.5","1.6","0.7","0.4","41.3","0.0","0.9","0.1",".","0.0","3.7","11.6","."
"Graduate","","9808","3.834","61.9","8.5","4.2","0.7","0.4","0.1","0.2","17.8","0.2","2.6",".","2.7","0.6","0.1","0.1","."
"Prof Yr 1","","63","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","50","3.948","90.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"Prof Yr 3","","88","3.904","88.6","8.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","8","3.833","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","209","3.930","91.4","6.2","1.9",".",".",".",".",".",".",".",".",".",".",".","0.5","."
"","College Total","98411","3.453","54.0","15.4","12.7","5.2","5.2","1.7","1.0","2.8","0.0","0.9","0.0","0.3","0.3","0.1","0.3","."
