"LATIN AMER, CARIB & IBERIAN  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction
260","001","","22","3.286","18.2","9.1",".",".",".",".","4.5","68.2",".",".",".",".",".",".",".","."
"Intro to Race in the Americas
285","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Education across the Americas
342","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Migration Lit Americas
367","001","","13","3.654","46.2","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"440","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"440","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"440","006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LACIS","Course Total","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"698","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
