"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","3961","3.110","36.4","15.7","18.9","10.4","12.0","3.5","1.1","1.5","",".",".","",".","0.1","0.4",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","47","2.807","23.4","17.0","19.1","14.9","17.0","4.3","4.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","628","2.964","26.6","14.2","23.9","14.0","15.1","4.5","0.8",".","",".",".","",".",".","1.0",".",".","."
"Junior","","1346","2.990","30.9","14.3","20.6","12.9","14.7","4.8","1.3",".","",".",".","",".",".","0.6",".",".","."
"Senior","","1453","3.166","38.7","17.9","18.0","9.4","11.8","3.0","0.9","0.1","",".",".","",".","0.1","0.1",".",".","."
"Undergraduates","","3474","3.054","33.3","15.8","20.1","11.7","13.6","3.9","1.1","0.0","",".",".","",".","0.0","0.5",".",".","."
"Special","","75","3.711","68.0","16.0","10.7","1.3","2.7",".",".",".","",".",".","",".",".",".",".","1.3","."
"Graduate","","411","3.633","56.9","14.4","10.0","1.2","0.7","0.2","1.2","14.4","",".",".","",".","1.0",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3961","3.110","36.4","15.7","18.9","10.4","12.0","3.5","1.1","1.5","",".",".","",".","0.1","0.4",".","0.0","."
