"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"People Analytics","Course Total","69","3.824","79.7","11.6","5.8",".",".",".","1.4",".",".",".",".",".","1.4",".",".","."
"Diversity in Organizations","617
001","19","3.842","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","628
001","36","3.736","63.9","25.0","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","22","3.614","63.6","18.2","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","628
050","51","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
051","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","127","3.811","80.3","12.6","3.9","2.4",".","0.8",".",".",".",".",".",".",".",".",".","."
"Entrepreneurship-Arts&CultOrgs","636
001","24","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Destruction Lab II","641
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
050","53","3.651","47.2","39.6","9.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","23","3.804","73.9","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
001","44","3.810","63.6","27.3","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","720
040","20","3.775","70.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Orgs","Course Total","64","3.798","65.6","26.6","3.1",".","1.6",".",".","3.1",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
020","39","3.833","74.4","17.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
021","39","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
040","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
050","51","3.686","51.0","41.2","3.9","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","723
051","20","3.500","15.0","70.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","174","3.746","58.6","33.9","6.3","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"Growth Strategies","724
050","55","3.700","41.8","56.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","30","3.817","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"WI Appl Venturs in Entrprnrshp","738
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Impact Consulting for Arts","747
001","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev for Arts Leadership","750
001","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","774
001","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Learn in Hum Res Mgmt","775
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic HR Mgmt Capstone","776
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","799
226","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Org Behavior & Design","872
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
061","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
111","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
228","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
