"ALS","","","","","","","","","","","","","","","","","","","","",""
"NUTRITIONAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","Dept. Total","2025","3.775","76.1","10.2","7.3","2.0","1.4","0.5","0.2","2.1","",".",".","",".","0.0","0.0",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","170","3.820","85.3","4.7","5.3","1.8","1.8","0.6","0.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","557","3.882","87.8","5.4","3.9","2.0","0.5","0.4",".",".","",".",".","",".",".",".",".",".","."
"Junior","","440","3.743","74.1","10.7","10.0","2.0","2.5","0.5",".",".","",".",".","",".",".","0.2",".",".","."
"Senior","","578","3.648","69.7","14.2","9.9","2.8","1.9","1.0","0.5",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","1745","3.771","78.1","9.6","7.6","2.2","1.6","0.6","0.2",".","",".",".","",".",".","0.1",".",".","."
"Special","","16","3.480","56.3","6.3","6.3","6.3","6.3",".",".","6.3","",".",".","",".",".",".",".","12.5","."
"Graduate","","264","3.838","64.0","14.4","5.3","0.4",".",".",".","15.5","",".",".","",".","0.4",".",".",".","."
"","Dept. Total","2025","3.775","76.1","10.2","7.3","2.0","1.4","0.5","0.2","2.1","",".",".","",".","0.0","0.0",".","0.1","."
