"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Transfusion Med Customized
921","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Laboratory Medicine Customized
922","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sickle cell disease
923","012","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Immunohematology
924","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathology for Surgeons","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"962","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"962","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Molec Basis of Heme Malignanc","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"970","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"970","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Omics Data Analysis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Researcher Clin Exp
980","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","149","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 436 of 493",""
