"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","18","4.000","94.4",".","",".","",".","",".","",".","",".",".",".",".","",".",".",".",".","5.6","."
"Junior","48","4.000","93.8",".","",".","",".","",".","",".","",".","2.1",".",".","",".",".",".",".","4.2","."
"Senior","96","3.996","97.9","1.0","",".","",".","",".","",".","",".",".",".",".","",".",".",".",".","1.0","."
"Undergraduates","164","3.997","96.3","0.6","",".","",".","",".","",".","",".","0.6",".",".","",".",".",".",".","2.4","."
"Graduate","80","3.969","18.8","1.3","",".","",".","",".","",".","",".","76.3","1.3",".","",".","1.3",".",".","1.3","."
"Prof Yr 1","12","4.000","75.0",".","",".","",".","",".","",".","",".","16.7",".","8.3","",".",".",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","230","",".",".","",".","",".","",".","",".","",".","99.6",".",".","",".",".","0.4",".",".","."
"Prof Yr 4","227","",".",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","471","4.000","1.9",".","",".","",".","",".","",".","",".","97.7",".","0.2","",".",".","0.2",".",".","."
