"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"Digital Marketing Analytics","445
001","14","3.250","42.9","21.4","14.3",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Marketing Analytics","450
002","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","50","3.510","14.0","78.0","6.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","460
002","42","3.595","26.2","66.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","32","3.219","3.1","75.0","15.6",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","460
100","15","3.333","40.0","26.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","139","3.450","18.0","68.3","10.1",".","1.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Product Marketing","740
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Marketing Analytics","745
002","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","755
001","37","3.919","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","25","3.420","20.0","44.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
040","19","3.316","21.1","21.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
050","55","3.309","14.5","32.7","52.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth Marketing Strategies","Course Total","99","3.348","17.2","33.3","49.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","11","3.500","36.4","45.5","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Social Media Marketing","775
001","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
001","41","3.463","31.7","41.5","14.6","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","9","3.111","44.4","11.1","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Marketing Analytics","Course Total","50","3.400","34.0","36.0","16.0","12.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","840
001","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Analytics & Insights","842
001","8","3.313","50.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Seminar-Research Methods","972
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
