"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Dance Teaching Practicum
379","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Therapy Practicum
431","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"453","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"453","004","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","006","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","","55","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition III
455","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"560","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"560","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
