"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","271","3.004","13.7","26.9","21.4","22.5","14.4",".","0.4",".",".",".",".",".",".",".","0.7","."
"","103
002","187","2.866","15.0","15.5","23.5","25.1","18.7","1.6","0.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","458","2.947","14.2","22.3","22.3","23.6","16.2","0.7","0.4",".",".",".",".",".",".",".","0.4","."
"","104
001","217","3.120","25.3","18.0","26.3","18.9","10.1","1.4",".",".",".",".",".",".",".",".",".","."
"","104
002","213","3.122","24.4","23.9","21.1","15.5","13.6","1.4",".",".",".",".",".",".",".",".",".","."
"","104
003","138","3.018","21.0","17.4","21.0","25.4","12.3","1.4",".","1.4",".",".",".",".",".",".",".","."
"General Physics","Course Total","568","3.096","23.9","20.1","23.1","19.2","12.0","1.4",".","0.4",".",".",".",".",".",".",".","."
"Physics of Sports","106
001","163","3.613","73.0","7.4","7.4","3.7","4.9","2.5","1.2",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","20","3.789","65.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","109
001","117","3.637","57.3","25.6","9.4","6.0","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","109
002","53","3.731","62.3","22.6","9.4","3.8",".",".",".",".",".",".",".",".",".",".","1.9","."
"Physics in the Arts","Course Total","170","3.666","58.8","24.7","9.4","5.3","0.6",".","0.6",".",".",".",".",".",".",".","0.6","."
"Energy and Climate","115
001","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
165","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199
155","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","201","2.908","17.4","19.4","22.9","16.9","20.9","0.5","2.0",".",".",".",".",".",".",".",".","."
"","201
002","267","3.032","18.0","21.0","27.3","16.9","15.7",".","0.4",".",".",".",".",".","0.7",".",".","."
"General Physics","Course Total","468","2.979","17.7","20.3","25.4","16.9","17.9","0.2","1.1",".",".",".",".",".","0.4",".",".","."
"","202
001","265","2.908","18.1","12.8","26.0","20.8","21.5","0.4","0.4",".",".",".",".",".",".",".",".","."
"","202
002","223","2.839","15.2","11.2","28.7","18.4","25.6","0.4","0.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","488","2.876","16.8","12.1","27.3","19.7","23.4","0.4","0.4",".",".",".",".",".",".",".",".","."
"General Physics","207
001","161","3.112","24.8","23.0","26.7","14.3","6.2","3.1","1.9",".",".",".",".",".",".",".",".","."
"","208
001","134","3.045","21.6","26.1","26.9","8.2","10.4","2.2","3.7",".",".",".",".",".","0.7",".",".","."
"","208
002","155","3.075","19.4","19.4","30.3","21.3","7.1","1.9",".",".",".",".",".",".","0.6",".",".","."
"General Physics","Course Total","289","3.061","20.4","22.5","28.7","15.2","8.7","2.1","1.7",".",".",".",".",".","0.7",".",".","."
"Intro-Solid State Electronics","235
001","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","72","3.697","70.8","13.9","5.6","1.4","5.6","1.4",".",".",".",".",".",".",".",".","1.4","."
"A Modern Intro to Physics","247
001","29","3.207","20.7","41.4","27.6",".","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","47","3.287","34.0","17.0","36.2","6.4","4.3",".","2.1",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","25","3.180","28.0","4.0","56.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","7","3.214","28.6",".","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","298
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","79","3.968","96.2","1.3","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","19","3.861","73.7","15.8","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","307
002","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","30","3.845","73.3","16.7","6.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Mechanics","311
001","74","3.034","21.6","24.3","23.0","12.2","16.2",".","2.7",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","69","3.312","46.4","5.8","36.2","1.4","4.3","4.3","1.4",".",".",".",".",".",".",".",".","."
"Optics","325
001","28","3.339","35.7","28.6","21.4","10.7",".",".","3.6",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 329 of 493",""
