"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","208","3.647","55.3","29.3","5.8","5.3","1.0","1.4",".",".",".",".",".",".",".","1.9",".","."
"Independent Reading","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","314
001","153","3.846","72.5","25.5","0.7","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Nursing Practice","315
003","64","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
001","146","3.363","10.3","56.2","31.5","1.4",".","0.7",".",".",".",".",".",".",".",".",".","."
"","326
001","76","",".",".",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".","."
"","326
002","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Found Nrsng Prac: Exp Lrng II","Course Total","145","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"","430
010","117","3.650","51.3","31.6","13.7","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"","430
011","112","3.580","42.0","38.4","13.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Perinatal Nursing","Course Total","229","3.616","46.7","34.9","13.5","4.4","0.4",".",".",".",".",".",".",".",".",".",".","."
"","432
010","115","3.748","54.8","40.0","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
011","112","3.656","40.2","51.8","7.1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Population Health Nursing","Course Total","227","3.703","47.6","45.8","6.2","0.4",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","436
003","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","443
001","116","3.228","8.6","44.0","34.5","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","443
002","112","3.228","9.8","49.1","25.0","12.5","2.7",".","0.9",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","228","3.228","9.2","46.5","29.8","11.4","2.6",".","0.4",".",".",".",".",".",".",".",".","."
"Transformative Nrsg Capstone","445
001","228","3.840","75.0","19.7","3.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
002","112","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"","446
003","63","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","228","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","447
001","123","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","117","3.919","84.6","14.5","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","112","3.915","83.0","17.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Nursing","Course Total","229","3.917","83.8","15.7","0.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","470
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Culturally Congruent Practice","510
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cmnty Spts for Ppl w/ Dementia","511
001","25","3.842","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Health","517
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","590
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","11","3.550","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Health Assessment","601
005","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Hnrs Rsrch Sem","679
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 467 of 493",""
