"ENGR MECHANICS & AEROSPA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","245","2.984","26.1","13.5","23.3","15.9","15.5","4.9","0.4",".",".",".",".",".","0.4",".",".","."
"","201
002","214","2.831","20.6","16.8","19.2","15.0","19.2","7.5","1.4",".",".",".",".",".","0.5",".",".","."
"","201
003","244","3.217","36.1","18.0","20.1","10.7","12.3","2.9",".",".",".",".",".",".",".",".",".","."
"Statics","Course Total","703","3.019","27.9","16.1","20.9","13.8","15.5","5.0","0.6",".",".",".",".",".","0.3",".",".","."
"","202
001","170","2.982","8.2","31.8","27.6","21.2","7.6","2.9","0.6",".",".",".",".",".",".",".",".","."
"","202
002","151","2.990","12.6","25.8","29.8","21.2","6.0","4.0","0.7",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","321","2.986","10.3","29.0","28.7","21.2","6.9","3.4","0.6",".",".",".",".",".",".",".",".","."
"","303
001","224","2.843","14.7","16.1","28.6","17.0","17.4","4.9","0.9","0.4",".",".",".",".",".",".",".","."
"","303
002","119","2.866","15.1","18.5","29.4","15.1","14.3","6.7","0.8",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","343","2.851","14.9","16.9","28.9","16.3","16.3","5.5","0.9","0.3",".",".",".",".",".",".",".","."
"","307
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","3.577","15.4","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","11","3.545","9.1","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","10","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
017","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","175","3.743","54.3","40.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","25","3.200","16.0","28.0","40.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","27","3.796","70.4","25.9",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","488
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","488
110","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research I","Course Total","3","***","","","","","","","","","","","","","","","",""
"","489
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Aerodynamics Lab","522
001","27","3.704","51.9","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","27","3.481","33.3","55.6","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","36","3.083","33.3","16.7","11.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
