"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","35","3.671","57.1","25.7","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","196","2.825","22.4","17.9","18.9","11.7","16.3","8.7","3.1","1.0",".",".",".",".",".",".",".","."
"","202
002","206","3.029","29.1","21.4","18.4","10.7","9.2","8.3","1.9","1.0",".",".",".",".",".",".",".","."
"","202
004","237","3.257","35.9","26.6","17.7","10.5","2.5","4.6","2.1",".",".",".",".",".",".",".",".","."
"","202
005","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
006","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","676","3.110","32.8","21.4","17.5","10.4","8.4","6.7","2.2","0.6",".",".",".",".",".",".",".","."
"","210
001","66","3.076","34.8","19.7","13.6","16.7","3.0","10.6","1.5",".",".",".",".",".",".",".",".","."
"","210
002","65","2.977","29.2","21.5","16.9","10.8","9.2","9.2","3.1",".",".",".",".",".",".",".",".","."
"","210
003","70","3.650","70.0","4.3","20.0","2.9","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","210
004","72","3.648","70.8","5.6","18.1",".","1.4",".","2.8",".",".",".",".",".","1.4",".",".","."
"","210
005","69","3.739","78.3","2.9","13.0",".","5.8",".",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","342","3.428","57.3","10.5","16.4","5.8","4.1","3.8","1.8",".",".",".",".",".","0.3",".",".","."
"","225
001","67","3.231","31.3","26.9","23.9","7.5","4.5","4.5","1.5",".",".",".",".",".",".",".",".","."
"","225
002","68","3.176","35.3","20.6","16.2","8.8","14.7","4.4",".",".",".",".",".",".",".",".",".","."
"","225
003","66","3.409","53.0","18.2","10.6","9.1","4.5","1.5","3.0",".",".",".",".",".",".",".",".","."
"","225
004","67","3.284","44.8","17.9","13.4","11.9","6.0","4.5","1.5",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","268","3.274","41.0","20.9","16.0","9.3","7.5","3.7","1.5",".",".",".",".",".",".",".",".","."
"Issues in Psychology","311
001","16","3.935","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","21","3.476","47.6","23.8","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","405
001","275","3.190","26.9","22.9","26.2","12.7","8.7","1.1","0.7","0.4",".",".",".",".","0.4",".",".","."
"","405
002","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Adult Psychopathology","Course Total","287","3.227","28.9","22.6","25.1","12.2","8.4","1.0","0.7","0.3",".",".",".",".","0.7",".",".","."
"","406
001","166","3.348","47.6","19.9","12.0","10.8","3.6","2.4","3.0","0.6",".",".",".",".",".",".",".","."
"","406
002","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","180","3.400","50.6","18.9","11.1","10.6","3.3","2.2","2.8","0.6",".",".",".",".",".",".",".","."
"Human Sexuality","453
001","155","3.226","38.1","21.3","20.6","5.8","7.7","3.9","2.6",".",".",".",".",".",".",".",".","."
"","454
001","427","3.075","21.3","28.6","23.7","10.8","10.5","3.3","1.9",".",".",".",".",".",".",".",".","."
"","454
002","24","3.271","29.2","25.0","25.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","451","3.089","21.7","28.4","23.7","10.9","10.4","3.1","1.8",".",".",".",".",".",".",".",".","."
"Social Psychology","456
001","194","3.500","53.1","17.5","16.5","5.7","4.6","1.5","0.5","0.5",".",".",".",".",".",".",".","."
"Child Development","460
001","292","3.541","56.5","17.8","13.0","8.2","2.7","0.7","1.0",".",".",".",".",".",".",".",".","."
"Adolescent Development","462
001","189","3.373","42.3","25.4","18.5","4.8","4.8","2.1","2.1",".",".",".",".",".",".",".",".","."
"Cognitive Development","502
001","136","3.311","30.9","28.7","22.1","9.6","7.4",".","0.7",".",".",".",".",".",".",".","0.7","."
"Depth Topic in Bio Science","505
001","68","3.816","88.2","4.4","2.9",".","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Hormones, Brain, and Behavior","513
001","175","3.417","54.3","15.4","10.3","7.4","9.1","2.9","0.6",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","192","3.808","80.7","9.9","4.2","1.0","2.1",".","1.0","1.0",".",".",".",".",".",".",".","."
"Psych Effects of the Internet","532
001","181","3.669","64.1","21.0","7.2","3.3","3.3","0.6","0.6",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","25","3.520","44.0","28.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 338 of 493",""
