"","203
001","","20","3.925","90.0","5.0","5.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","203
002","","8","3.313","37.5","12.5","25.0","25.0",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","","28","3.750","75.0","7.1","10.7","7.1",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Comp Prob in Periods & Movemnt","370
001","","18","3.867","77.8",".",".",".","5.6","",".","",".","16.7",".","",".",".","",".","",".","",".",".","."
"260
COMP LIT","Dept. Total","","46","3.791","76.1","4.3","6.5","4.3","2.2","",".","",".","6.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","13","3.500","53.8","7.7","23.1","15.4",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","18","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","11","3.818","90.9",".",".",".","9.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","43","3.791","81.4","4.7","7.0","4.7","2.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","46","3.791","76.1","4.3","6.5","4.3","2.2","",".","",".","6.5","",".",".","",".","",".","",".",".",".","."
