"","991
002","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","991
006","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","991
018","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Linguistc&Germanic Philolgy","Course Total","6","",".",".",".",".",".",".",".","16.7","",".",".","",".","83.3","",".",".",".","."
"424
GERMAN","Dept. Total","411","3.745","73.5","14.4","3.6","2.2","1.7","1.5","0.2","1.0","",".",".","",".","1.7","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.583","50.0","33.3",".","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","78","3.659","67.9","17.9","6.4","3.8","1.3","2.6",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","128","3.745","77.3","13.3","3.9","1.6","2.3","0.8","0.8",".","",".",".","",".",".","",".",".",".","."
"Senior","","143","3.768","76.9","14.7","2.8","1.4","2.1","2.1",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","355","3.730","74.6","15.2","3.9","2.3","2.0","1.7","0.3",".","",".",".","",".",".","",".",".",".","."
"Special","","8","3.529","37.5","12.5",".","12.5",".",".",".","25.0","",".",".","",".",".","",".",".","12.5","."
"Graduate","","48","3.923","70.8","8.3","2.1",".",".",".",".","4.2","",".",".","",".","14.6","",".",".",".","."
"","Dept. Total","411","3.745","73.5","14.4","3.6","2.2","1.7","1.5","0.2","1.0","",".",".","",".","1.7","",".",".","0.2","."
