"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano
101","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"102","004","","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Beginning Class Piano","Course Total","","32","3.806","62.5","31.3","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"104","001","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","22","3.750","77.3","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Jazz Class Piano
108","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Performance: Voice
143","101","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","104","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","105","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","18","3.957","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"146","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","14","3.952","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","5","***","","","","","","","","","","","","","","","",""
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"205","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 319 of 493",""
