"","990
086","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
090","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
093","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","64","",".",".",".",".",".",".",".","98.4","",".",".","",".","1.6",".",".",".","."
"970
ZOOLOGY","Dept. Total","1693","3.351","51.0","11.5","17.5","4.4","7.1","2.2","1.4","4.2","",".","0.1","",".","0.1","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","2.528","21.1","7.9","28.9","2.6","23.7","10.5","5.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","312","3.051","28.5","16.7","24.0","7.7","17.0","3.8","1.9",".","",".",".","",".",".","0.3",".",".","."
"Junior","","442","3.317","46.2","12.0","24.4","5.9","7.5","1.8","2.3",".","",".",".","",".",".",".",".",".","."
"Senior","","762","3.569","66.5","11.0","13.0","3.0","3.3","1.7","0.7","0.1","",".",".","",".",".","0.7",".",".","."
"Undergraduates","","1554","3.340","52.0","12.4","18.9","4.8","7.7","2.4","1.5","0.1","",".",".","",".",".","0.4",".",".","."
"Special","","19","3.591","31.6",".","5.3",".","5.3",".",".","36.8","",".",".","",".",".",".","10.5","10.5","."
"Graduate","","120","3.867","41.7","1.7","2.5",".",".",".",".","52.5","",".","0.8","",".","0.8",".",".",".","."
"","Dept. Total","1693","3.351","51.0","11.5","17.5","4.4","7.1","2.2","1.4","4.2","",".","0.1","",".","0.1","0.4","0.1","0.1","."
