"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Introduction to Computing","102
001","131","3.832","84.7","8.4",".","5.3","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Programming I","200
001","142","3.467","41.5","19.7","26.8","4.9","2.1",".","0.7",".",".",".",".",".","4.2",".",".","."
"","220
001","99","3.348","30.3","37.4","22.2","2.0","4.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"","220
002","246","3.482","39.8","33.7","18.7","3.3","1.6","0.4","1.6","0.4",".",".",".",".","0.4",".",".","."
"","220
003","268","3.401","39.6","30.6","19.4","3.4","3.0","2.2","1.9",".",".",".",".",".",".",".",".","."
"","220
004","144","3.465","36.8","29.9","29.2","2.1","0.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Data Sci Programming I","Course Total","757","3.432","37.9","32.4","21.4","2.9","2.2","1.5","1.5","0.1",".",".",".",".","0.1",".",".","."
"","240
001","141","3.313","46.1","18.4","11.3","12.1","6.4","0.7","3.5","0.7",".",".",".",".","0.7",".",".","."
"","240
002","118","3.427","49.2","21.2","12.7","7.6","5.1","1.7","1.7",".",".",".",".",".","0.8",".",".","."
"Intro to Discrete Mathematics","Course Total","259","3.365","47.5","19.7","12.0","10.0","5.8","1.2","2.7","0.4",".",".",".",".","0.8",".",".","."
"","252
002","149","3.419","49.0","15.4","24.8",".","6.7","4.0",".",".",".",".",".",".",".",".",".","."
"","252
004","136","3.430","45.6","17.6","25.0","5.1","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","252
006","139","3.471","46.8","20.9","18.0","8.6","5.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","424","3.440","47.2","17.9","22.6","4.5","5.7","2.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Web Dev","272
001","19","3.579","52.6","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","298
185","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
188","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
206","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","125","3.141","24.0","26.4","30.4","8.0","3.2","5.6","1.6","0.8",".",".",".",".",".",".",".","."
"","300
002","128","3.287","28.1","25.8","32.0","6.3","4.7","2.3",".",".",".",".",".",".","0.8",".",".","."
"","300
003","124","3.229","25.0","22.6","37.1","5.6","2.4","3.2","0.8",".",".",".",".",".","2.4",".","0.8","."
"","300
004","109","2.981","20.2","16.5","37.6","9.2","7.3","3.7","3.7",".",".",".",".",".","1.8",".",".","."
"Programming II","Course Total","486","3.166","24.5","23.0","34.2","7.2","4.3","3.7","1.4","0.2",".",".",".",".","1.2",".","0.2","."
"","304
002","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","304
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Peer Collaboration in Comp Sci","Course Total","28","3.839","89.3",".","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","319
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
004","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Prgmg I - Research","Course Total","14","3.769","64.3","14.3","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","320
001","187","3.778","74.9","17.1","4.8","0.5","1.1","0.5","1.1",".",".",".",".",".",".",".",".","."
"","320
002","178","3.758","74.2","14.0","9.0","0.6","0.6","0.6","1.1",".",".",".",".",".",".",".",".","."
"","320
003","123","3.711","67.5","17.9","8.1","4.1","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"Data Sci Programming II","Course Total","488","3.754","72.7","16.2","7.2","1.4","1.0","0.6","0.8",".",".",".",".",".",".",".",".","."
"","352
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","222","3.173","30.2","20.7","27.5","10.4","6.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 228 of 493",""
