"COUNSELING PSYCHOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"Clinical Communication Skills","655","001","118","3.805","80.5","10.2","7.6",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Activities","700","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Individual Difference","736","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Behavior & Psychopath","740","001","36","3.944","94.4","2.8",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Health Diag & Treatment","745","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crisis and Trauma Counseling","777","001","36","3.917","86.1","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grp Dynmcs Procssing & Coun.","802","001","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Practicum in Counseling","806","001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifestyle & Career Development","865","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum: Supervision","902","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Advanced","903","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Counseling Psych Externship","904","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rsch-Voc Psych & Career Dev","956","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych II","960","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","","Course Total","23","",".",".",".",".",".",".",".","69.6",".",".",".","30.4",".",".",".","."
"Independent Reading","999","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
