"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201","001","","56","3.598","62.5","23.2","1.8","3.6","7.1",".","1.8",".",".",".",".",".",".",".",".","."
"201","002","","63","3.762","74.6","15.9","3.2","3.2","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"201","003","","59","3.805","76.3","18.6","1.7",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","178","3.725","71.3","19.1","2.2","2.2","3.4","1.1","0.6",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health
205","001","","175","3.863","86.9","6.9","3.4","1.1","0.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"299","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology
302","001","","22","3.214","45.5","13.6","13.6","9.1","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"Parasitology
350","001","","21","3.167","38.1","14.3","19.0","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Medical Entomology
371","001","","24","3.805","79.2","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","11","3.833","63.6","9.1","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Plant-Insect Interactions
473","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions
505","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems Thinking  Global Hlth
570","001","","63","3.921","88.9","6.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.862","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mulitivar Analysis Ecol Data
711","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium
801","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Ecology
821","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 17 of 493"
