"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"Fourth Semester Japanese","Course Total","","41","3.575","48.8","26.8","12.2","7.3","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"206","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"206","002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","Course Total","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Asian Language
222","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Filipino
224","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong
226","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"228","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"228","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Indonesian","Course Total","","4","***","","","","","","","","","","","","","","","",""
"230","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"230","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","Course Total","","3","***","","","","","","","","","","","","","","","",""
"232","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"232","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Vietnamese","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Fourth Semester Modern Tibetan
236","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"238","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"238","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"238","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Persian","Course Total","","4","***","","","","","","","","","","","","","","","",""
"302","001","","9","3.444","55.6","22.2",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"302","002","","13","3.654","61.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","Course Total","","22","3.568","59.1","22.7",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean
306","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"6th Semester Asian Language
322","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hmong
326","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"328","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Sixth Semester Thai
330","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese
332","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Persian
338","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"356","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Asian","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
