"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","17","3.633","70.6","17.6","5.9","",".","",".","5.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","22","3.641","72.7","9.1","13.6","",".","",".","4.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","34","3.808","76.5","14.7","8.8","",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","75","3.704","72.0","16.0","9.3","",".","",".","2.7","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","12","",".",".",".","",".","",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","27","3.905","74.1",".","7.4","",".","",".",".","",".","18.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","114","3.744","64.9","10.5","7.9","",".","",".","1.8","",".","14.9","",".",".","",".","",".","",".",".",".","."
