"AGRICULTURAL AND APPLIED E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","101","001","35","3.343","28.6","37.1","17.1","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","26","2.788","19.2","15.4","15.4","26.9","11.5","11.5",".",".",".",".",".",".",".",".",".","."
"Trading Futures Commodity Mkts","250","001","18","3.765","83.3",".","5.6",".",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Independent Study","299","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Commodity Markets","322","001","30","3.034","20.0","33.3","10.0","20.0","3.3","10.0",".","3.3",".",".",".",".",".",".",".","."
"Cooperatives","323","001","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","181","3.608","64.6","17.1","8.3","5.0","2.2","0.6","2.2",".",".",".",".",".",".",".",".","."
"Econ Analysis Spreadsheets","336","001","38","3.579","52.6","28.9","13.2","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","106","3.505","41.5","34.9","14.2","5.7","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture","367","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","15","3.583","60.0",".","13.3",".",".","6.7",".","13.3",".",".",".",".",".",".","6.7","."
"Coord Intrnshp/Cooprtv Educ","399","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Finance","419","001","28","3.857","78.6","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","430","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","11","2.727","36.4","9.1","9.1","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","13","3.269","38.5","38.5","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Markets","561","001","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agribusiness Econ & Management","625","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl. Econometric Analysis II","637","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Business Economics","719","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm Applied Econ Analys","721","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Envir & Resource Econ 1","760","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Colloquium","780","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Prac Training/Internship","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","990","057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 1 of 493"
