"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Yiddish","106","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health & Hotels in Cent Eur","240","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in GNS","270","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Kazakh","332","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","370","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","370","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","370","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in GNS","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"2nd Sem Yiddish Graduate Level","406","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","471","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Kazakh","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
GNS","","Dept. Total","","34","3.903","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
