"EDUCATIONAL PSYCHOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Current Topics-Ed Psych","","Course Total","","76","3.944","90.8","5.3","1.3",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"Ed Psych Diversity Seminar","712","001","","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","8","3.571","50.0","25.0",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Adolescent Development","721","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research","743","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design/Manage Learning Env","745","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761","002","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","","Course Total","","37","3.878","75.7","24.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Models in Education","763","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Analys","773","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Research Methods","803","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beg Practicum in School Psych","828","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Practicum School Psych","829","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","830","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Practicum School Psych","","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Practicum School Psych","840","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","943","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess&Interven Techniques","946","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Evidence-based Chld Psychother","947","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Equation Modeling","960","001","","22","3.974","81.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","13.6","."
"Hierarchical Linear Modeling","964","001","","18","3.938","77.8","11.1",".",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Meta-Analysis","967","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 104 of 493",""
