"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"790","005","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in CS&D","Course Total","","41","3.981","95.1",".","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"School Practicum in CS&D
791","009","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatric Audiology
832","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn
836","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab
849","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I
856","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I
857","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I
858","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I
859","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path II
862","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II
866","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Mthds for Audiologists
867","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"891","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology I","Course Total","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology II","Course Total","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III
893","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology
894","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"899","011","","8","3.906","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","21","3.965","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
