"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Nuclear Engineering
231","001","","63","3.381","20.6","42.9","31.7","1.6","3.2",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Theory
405","001","","24","2.917","20.8","16.7","20.8","16.7","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"Ionizing Radiation
408","001","","32","3.297","37.5","25.0","18.8","9.4","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Design
412","001","","25","3.420","12.0","60.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"424","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424","002","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Materials Laboratory","Course Total","","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"428","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"428","002","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","23","3.739","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monte Carlo Radiatn Transport
506","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"2-Phase Flow & Heat Transfr
520","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas
525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Course in Plasmas
526","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Confinement&Heating
527","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mat Degradation Adv Nuclr Reac
545","001","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ&Envr Aspect-Nuc Energy
571","001","","28","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Reactor Engr
602","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics
726","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"890","019","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
